001,000,0,,1 n,8071.3171,0.0005,,,,613.9,s,0.6,1/2+,6,,1932,B-=100
001,001,0,,1H,7288.9706,0.0001,,,,stbl,,,1/2+,6,11Be53d,1920,IS=99.9885 70
002,001,0,,2H,13135.7217,0.0001,,,,stbl,,,1+,3,,1932,IS=0.0115 70
003,001,0,,3H,14949.8099,0.0002,,,,12.32,y,0.02,1/2+,0,,1934,B-=100
003,002,0,,3He,14931.2179,0.0002,,,,stbl,,,1/2+,98,,1934,IS=0.000134 3
003,003,0,,3Li,28670#,2000#,,,,p-unst,,,,98,,1969,p ?
004,001,0,,4H,24620,100,,,,139,ys,10,-2,98,03Me11t,1981,n=100
004,002,0,,4He,2424.9156,0.0001,,,,stbl,,,0+,98,,1908,IS=99.999866 3
004,003,0,,4Li,25320,210,,,,91,ys,9,-2,98,65Ce02t,1965,p=100
005,001,0,,5H,32890,90,,,,>910,ys,,(1/2+),2,03Go11t,1987,2n=100
005,002,0,,5He,11231,20,,,,700,ys,30,3/2-,2,,1937,n=100
005,003,0,,5Li,11680,50,,,,370,ys,30,3/2-,2,,1941,p=100
005,004,0,,5Be,37140#,2000#,,,,,,,1/2+#,2,,,p ?
006,001,0,,6H,41880,250,,,,290,ys,70,2-#,2,,1984,n ?;3n ?
006,002,0,,6He,17592.1,0.05,,,,806.92,ms,0.24,0+,2,15Pf01d,1936,B-=100;B-d=0.000278 18
006,003,0,,6Li,14086.8789,0.0014,,,,stbl,,,1+,2,,1921,IS=7.59 4
006,003,8,W,6Lii,17649.76,0.1,3562.88,0.1,,56,as,14,0+      T=1,2,81Ro02e,1981,IT=100
006,004,0,,6Be,18375,5,,,,5,zs,0.3,0+,2,,1958,2p=100
006,005,0,,6B,47320#,2000#,,,,p-unst#,,,2-#,,,,2p ?
007,001,0,,7H,49140#,1000#,,,,500#,ys,,1/2+#,,,2003,2n ?
007,002,0,,7He,26073,8,,,,2.51,zs,0.07,(3/2)-,3,12Ca05t,1967,n=100
007,003,0,,7Li,14907.105,0.004,,,,stbl,,,3/2-,3,,1921,IS=92.41 4
007,003,8,,7Lii,26150,30,11250,30,RQ,,,,3/2-    T=3/2,3,,,
007,004,0,,7Be,15769,0.07,,,,53.22,d,0.06,3/2-,3,,1938,EC=100
007,004,8,,7Bei,26750,30,10980,30,RQ,,,,3/2-    T=3/2,3,,,p ?;3He ?;A ?
007,005,0,,7B,27677,25,,,,570,ys,14,(3/2-),14,11Ch32t,1967,p=100
008,002,0,,8He,31609.68,0.09,,,,119.1,ms,1.2,0+,5,,1965,B-=100;B-n=16 1;B-t=0.9 1
008,003,0,,8Li,20945.8,0.05,,,,839.4,ms,0.36,2+,5,10Fl01t,1935,B-=100;B-A=100
008,003,8,,8Lii,31768,5,10822,5,RQ,,,,0+      T=2,5,,,
008,004,0,,8Be,4941.67,0.04,,,,81.9,as,3.7,0+,5,,1932,A=100
008,004,8,W,8Bei,21568,3,16626,3,,,,,2+  frg T=1,,04Ti06e,2004,A~100
008,004,9,,8Bej,32436,2,27494.3,2,RQ,,,,0+      T=2,5,,,n=39.4;d=27.0;3H=11.7;A=7.9;p=6.9;3He=6.6;IT=0.60
008,005,0,,8B,22921.6,1,,,,770,ms,3,2+,5,,1950,B+=100;B+A=100
008,005,8,,8Bxi,33546,8,10624,8,RQ,,,,0+      T=2,5,,1975,
008,006,0,,8C,35064,18,,,,3.5,zs,1.4,0+,5,11Ch32t,1974,2p=100
009,002,0,,9He,40940,50,,,,2.5,zs,2.3,1/2(+),6,16Ub01j,1987,n=100
009,003,0,,9Li,24954.9,0.19,,,,178.3,ms,0.4,3/2-,6,95Re.Ad,1951,B-=100;B-n=50.8 2
009,004,0,,9Be,11348.45,0.08,,,,stbl,,,3/2-,6,,1921,IS=100.
009,004,8,,9Bei,25738.8,1.7,14390.3,1.7,RQ,1.25,as,0.1,3/2-    T=3/2,6,,1976,
009,005,0,,9B,12416.5,0.9,,,,800,zs,300,3/2-,6,,1940,p=100
009,005,8,,9Bxi,27071,2.3,14654.5,2.5,RQ,,,,3/2-    T=3/2,6,,,
009,006,0,,9C,28911,2.1,,,,126.5,ms,0.9,(3/2-),6,,1964,B+=100;B+p=61.6;B+A=38.4
010,002,0,,10He,49200,90,,,,3.1,zs,2,0+,7,,1994,2n=100
010,003,0,,10Li,33053,13,,,,2,zs,0.5,"(1-,2-)",7,94Yo01tj,1975,n=100
010,003,1,,10Lim,33250,40,200,40,RQ,3.7,zs,1.5,1+,7,97Zi04t,1994,IT=100
010,003,2,,10Lin,33530,40,480,40,RQ,1.35,zs,0.24,(2+),7,94Yo01t,1993,IT=100
010,004,0,,10Be,12607.49,0.08,,,,1.51,My,0.04,0+,7,,1935,B-=100
010,004,8,,10Bei,33787,21,21179,21,RQ,,,,(2-)    T=2,7,,,n ?;p ?;3H ?
010,005,0,,10B,12050.609,0.015,,,,stbl,,,3+,7,,1920,IS=19.9 7
010,005,8,W,10Bxi,13790.66,0.04,1740.05,0.04,,,,,0+      T=1,7,,,IT=100
010,006,0,,10C,15698.67,0.07,,,,19.3,9 s,0.0017,0+,7,16Du10t,1949,B+=100
010,007,0,,10N,38800,400,,,,200,ys,140,(2-),7,02Le16tj,2002,p ?
011,003,0,,11Li,40728.3,0.6,,,,8.75,ms,0.14,3/2-,12,12Ke01d,1966,B-=100;B-n=86.3 9;B-2n=4.1 4;B-3n=1.9 2;B-A=1.7 3;B-d=0.0130 13;B-t=0.0093 8
011,004,0,,11Be,20177.17,0.24,,,,13.76,s,0.07,1/2+,12,81Al03d,1958,B-=100;B-A=2.9 4;B-p=0.00083 9;B-n ?
011,004,8,,11Bei,41336,20,21158,20,RQ,0.93,zs,0.13,3/2-    T=5/2,,MMC162j,1997,IT ?
011,005,0,,11B,8667.707,0.012,,,,stbl,,,3/2-,12,,1920,IS=80.1 7
011,005,8,,11Bxi,21228,9,12560,9,RQ,,,T=3/2,"1/2+,(3/2+)",12,,1963,
011,005,9,,11Bxj,42230,80,33570,80,2p,,,,3/2-    T=5/2,,MMC146j,,
011,006,0,,11C,10649.4,0.06,,,,20.364,m,0.014,3/2-,12,,1934,B+=100
011,006,8,,11Cxi,22810,40,12160,40,RQ,,,,1/2+    T=3/2,12,71Wa21d,1971,p=?
011,007,0,,11N,24300,50,,,,550,ys,20,1/2+,12,,1974,p=100
011,007,1,W,11Nxm,25040,80,740,60,,690,ys,80,1/2-,12,96Ax01etj,1974,p=100
012,003,0,,12Li,49010,30,,,,<10,ns,,,0,74Bo05i,2008,n ?
012,004,0,,12Be,25077.8,1.9,,,,21.5,ms,0.04,0+,0,01Be53t,1966,B-=100;B-n=0.50 3
012,004,1,W,12Bem,27328.8,2.1,2251,1,,229,ns,8,0+,,07Sh34ejt,2007,IT=100
012,005,0,,12B,13369.4,1.3,,,,20.2,ms,0.02,1+,0,66Sc23d,1935,B-=100;B-A=1.6 3
012,005,8,,12Bxi,26088,19,12719,19,RQ,,,,0+      T=2,0,08Ch28j,,
012,006,0,,12C,0,0,,,,stbl,,,0+,0,,1919,IS=98.93 8
012,006,8,,12Cxi,15108,3,15108,3,RQ,,,,1+      T=1,0,,,IT=?;A ?
012,006,9,,12Cxj,27595,2.4,27595,2.4,RQ,,,,0+      T=2,0,,,
012,007,0,,12N,17338.1,1,,,,11,ms,0.016,1+,0,66Sc23d,1949,B+=100;B+A=3.5 5
012,007,8,,12Nxi,29534,29,12195,29,2p,,,,(0+)    T=2,,MMC142j,,
012,008,0,,12O,31915,24,,,,>6.3,zs,,0+,0,12Ja11t,1978,2p=60 30
013,003,0,,13Li,56980,70,,,,3.3,zs,1.2,3/2-#,,08Ak03d,2008,2n=100
013,004,0,,13Be,33659,10,,,,1,zs,0.7,(1/2-),,10Ko17tj,1983,n ?
013,004,3,,13Bep,35160,50,1500,50,RQ,,,,(5/2+),,,1992,
013,005,0,,13B,16561.9,1,,,,17.33,ms,0.17,3/2-,0,,1956,B-=100;B-n=0.28 4
013,006,0,,13C,3125.0088,0.0002,,,,stbl,,,1/2-,1,,1929,IS=1.07 8
013,006,8,,13Cxi,18233.8,1.1,15108.8,1.1,RQ,,,,3/2-    T=3/2,0,,,IT=0.82 7;N ?;A ?
013,007,0,,13N,5345.48,0.27,,,,9.965,m,0.004,1/2-,0,,1934,B+=100
013,007,8,,13Nxi,20410.59,0.18,15065.1,0.3,RQ,,,,3/2-    T=3/2,0,,,IT=4.9 3;P ?;A ?
013,008,0,,13O,23115,10,,,,8.58,ms,0.05,(3/2-),0,70Es03d,1963,B+=100;B+p=10.9 20
014,004,0,,14Be,39950,130,,,,4.35,ms,0.17,0+,1,02Je11d,1973,B-=100;B-n=98 2;B-2n=0.8 08;B-3n=0.2 2;B-t=0.02 1;B-A<0.004
014,004,3,,14Bep,41470,60,1520,150,RQ,,,,(2+),,95Bo10i,1995,
014,005,0,,14B,23664,21,,,,12.5,ms,0.5,2-   ,1,95Re.Ad,1966,B-=100;B-n=6.04 23;B-2n ?
014,005,8,,14Bxi,40728,20,17065,29,RQ,4.15,zs,1.9,0+      T=3,,MMC162j,2001,IT ?
014,006,0,,14C,3019.893,0.004,,,,5.7,ky,0.03,0+,1,,1936,B-=100
014,006,8,W,14Cxi,25120,100,22100,100,,,,,(2-)    T=2,1,,1989,IT=100
014,007,0,,14N,2863.4167,0.0001,,,,stbl,,,1+,1,,1920,IS=99.636 20
014,007,8,W,14Nxi,5176.007,0.01,2312.59,0.01,,,,,0+      T=1,1,01Ba06e,1963,IT=100
014,008,0,,14O,8007.781,0.025,,,,70.62,s,0.013,0+,1,13La23t,1949,B+=100
014,009,0,,14F,31960,40,,,,500,ys,60,-2,14,10Go16tj,2010,p ?
015,004,0,,15Be,49830,170,,,,790,ys,270,(5/2+),15,13Sn02td,2013,n=100
015,005,0,,15B,28958,21,,,,9.93,ms,0.07,3/2-,2,95Re.Ad,1966,B-=100;B-n=93.6 12;B-2n=0.4 2
015,006,0,,15C,9873.1,0.8,,,,2.449,s,0.005,1/2+,2,,1950,B-=100
015,007,0,,15N,101.4387,0.0006,,,,stbl,,,1/2-,2,,1929,IS=0.364 20
015,007,8,,15Nxi,11717,4,11615,4,RQ,,,,1/2+    T=3/2,2,,,n ?;p ?;IT=0.00523 19
015,008,0,,15O,2855.6,0.5,,,,122.24,s,0.16,1/2-,2,,1934,B+=100
015,008,8,W,15Oxi,14020#,40#,11165#,35#,,,,,(1/2+)  T=3/2,2,Imme  e,,p=100
015,009,0,,15F,16567,14,,,,1.1,zs,0.3,1/2+,2,04Go15j,1978,p=100
015,010,0,,15Ne,40220,70,,,2p,770,ys,300,(3/2-),14,14Wa09jd,2014,2p=100
